#{"t_start": 1689166072.05555, "env_id": "None"}
r,l,t
-9.961225,3,4.35469
-14.999864,4,4.358777
-9.955616,7,4.366151
-9.961196,4,4.369829
-9.991042,6,4.374708
-9.967985,2,4.378706
-9.974192,3,4.380707
-9.965387,4,4.384707
-9.958625,6,4.38994
-14.998873,5,4.396838
-9.996542,5,4.401836
-14.99616,7,4.408594
-9.999477,5,4.413154
-14.993318,7,4.419155
-9.982601,5,4.425253
-9.98598,6,4.43343
-9.984077,3,4.436671
-9.983438,3,4.440194
-9.95816,3,4.442617
-9.966402,3,4.445796
-9.988174,5,4.449669
-9.957778,7,4.454669
-9.999123,3,4.458454
-9.999895,4,4.462936
-14.971324,4,4.466123
-9.964984,3,4.467884
-9.966054,4,4.471881
-14.999389,4,4.473882
-9.985452,3,4.476879
-9.967944,3,4.47988
-14.968027,5,4.48288
-9.991524,5,4.48749
-19.975978,6,4.49249
-14.948934,5,4.49621
-9.998574,5,4.500172
-14.997355,7,4.505122
-9.997086,6,4.509135
-9.993767,4,4.512378
-24.984881,7,4.517383
-9.992807,5,4.520381
-9.994607,5,4.524388
-9.996433,6,4.528351
-9.997593,3,4.530348
-9.987445,4,4.534341
-14.996308,6,4.537512
-14.998748,5,4.54152
-9.989935,6,4.545772
-9.999407,4,4.550465
-9.967985,2,4.551475
-9.998722,5,4.554465
-14.972024,4,4.557635
-9.985243,5,4.561387
-9.990992,4,4.563669
-14.959597,6,4.567873
-9.958947,3,4.569873
-14.940008,5,4.572873
-9.967985,2,4.574874
-9.969008,3,4.577448
-9.999688,5,4.581887
-14.989327,4,4.583888
-9.958158,6,4.588128
-9.966066,6,4.592129
-14.999711,4,4.597112
-9.960255,3,4.599143
-14.958954,5,4.603785
-9.965002,4,4.607453
-12.241939,8,4.71391
-14.957487,6,4.720352
-9.954356,5,4.724352
-9.960652,4,4.728364
-9.996199,4,4.733365
-9.998653,6,4.743384
-9.967985,3,4.74756
-14.986665,5,4.754544
-9.997996,4,4.760712
-14.999324,4,4.770757
-9.999325,3,4.775264
-19.909841,4,6.84316
-9.997634,4,6.846788
-9.994721,5,6.853312
-9.966988,4,6.858342
-9.99846,5,6.865346
-9.993042,4,6.868344
-9.972202,6,6.873344
-9.967763,3,6.876961
-9.993685,4,6.881963
-9.967985,2,6.883961
-9.994246,4,6.888536
-14.994677,5,6.893536
-9.966763,5,6.899692
-14.986845,4,6.902693
-9.961592,2,6.904693
-9.99412,4,6.908964
-9.991027,4,6.914964
-9.95228,4,6.919964
-14.989812,5,6.924963
-9.965904,4,6.929043
-9.967307,3,6.932043
-9.965599,3,6.934043
-14.967945,6,6.94024
-14.974762,4,6.946242
-9.967985,2,6.949761
-9.967985,3,6.95376
-14.97201,6,6.959922
-9.993775,4,6.963921
-19.955972,5,6.968931
-9.960791,7,6.97793
-9.967985,3,6.981931
-9.999855,4,6.986742
-9.997905,3,6.991192
-9.967834,7,6.996952
-9.967985,2,6.99895
-14.99738,6,7.002951
-14.972024,4,7.007759
-14.938637,6,7.01376
-9.993721,4,7.016778
-9.967985,2,7.018777
-9.967985,3,7.021861
-9.957724,5,7.026992
-9.959158,6,7.030992
-9.974546,4,7.033991
-9.993455,4,7.039563
-9.990439,4,7.043563
-19.958982,8,7.049778
-14.996807,6,7.054778
-9.995905,3,7.058007
-9.997442,3,7.060007
-9.959439,3,7.063005
-9.964907,3,7.065005
-14.956873,6,7.069067
-9.967985,3,7.071066
-9.990205,5,7.074068
-9.998553,4,7.077227
-19.938176,7,7.083256
-9.967121,3,7.085228
-14.939938,5,7.088491
-14.99111,7,7.093492
-19.997941,7,7.099837
-9.978426,4,7.102837
-9.977436,3,7.104837
-14.99886,4,7.107125
-9.998205,4,7.110124
-9.998275,5,7.115125
-14.937956,4,7.118138
-14.972024,4,7.120138
