Model Number,Reward,Mean Error,Max Error,Chosen Points
91,71.31421516973255,0.0031960693455162555,0.01328742046341888,[-6.5600000000000005  -5.120000000000001  -3.680000000000001  -2.240000000000001  -0.8000000000000012  0.6399999999999988  2.0799999999999987  3.5199999999999987]
92,0.25318316444351113,0.11846547606284101,0.21950080881971526,[7.609999999999999  8]
93,0.08588325102274368,0.09357359367177197,0.2707706281347486,[-7.54  -7.08  -6.62  -6.16  -5.7  -5.24  -4.78  -4.32]
94,0.077454384677127,0.11153287672870792,0.2705849594305826,[2.0  8]
95,0.09253797895384279,0.09341193723289318,0.2677014457514981,[-7.46  -6.92  -6.38  -5.84  -5.3  -4.76  -4.22  -3.6799999999999997]
96,4.761692352564785,0.04818169638582012,0.1148115360985322,[-3.67  0.6600000000000001  4.99  8]
97,43.534657956298624,0.006627689235414013,0.032993612294915126,[-5.85  -3.6999999999999997  -1.5499999999999998  0.6000000000000001  2.75  4.9  7.09  8]
98,0.2518087374169284,0.11767072211075404,0.21992630464452234,[-7.96  -7.92  -7.88  -7.84  -7.8  -7.76  -7.72  -7.68]
99,24.94444724430123,0.008760473961281516,0.05566483750544238,[-6.77  -5.539999999999999  -4.309999999999999  -3.0799999999999987  -1.8499999999999988  -0.6199999999999988  0.6100000000000012  1.8400000000000012]
100,0.21489894832218776,0.11552987522523252,0.22706576265763492,[7.220000000000001  8]
101,58.392726318185176,0.004139040034623852,0.021381025543717708,[-6.39  -4.779999999999999  -3.169999999999999  -1.559999999999999  0.050000000000001155  1.6600000000000013  3.2700000000000014  7.230000000000001]
102,0.11146733517935034,0.1173289620917942,0.25396750426969206,[1.1899999999999995  8]
103,28.190304478307503,0.012673714649124652,0.049589574670517944,[-4.67  -1.3399999999999999  1.9900000000000002  5.32  8]
104,0.12716334677077695,0.10481463446264681,0.2516068834637729,[5.859999999999999  8]
105,58.0001952992272,0.0035362515765367843,0.02181276244833605,[-6.36  -4.720000000000001  -3.080000000000001  -1.440000000000001  0.19999999999999885  1.8399999999999987  3.4799999999999986  5.119999999999998]
106,43.32507302859092,0.006660876803221469,0.033186391832049356,[-5.87  -3.74  -1.6100000000000003  0.5199999999999996  2.6499999999999995  4.779999999999999  8]
107,0.23177483349591071,0.11588857018601821,0.22382615369783676,[-7.94  -7.880000000000001  -7.820000000000001  -7.760000000000002  -7.700000000000002  -7.640000000000002  -7.580000000000003  -7.520000000000003]
108,30.814819295964764,0.01158253630667649,0.04615330199621792,[-4.92  -1.8399999999999999  1.2400000000000002  4.32  8]
109,0.12162551828522741,0.10374862927144238,0.25372862031277255,[5.73  8]
110,25.940441327457957,0.015637230986956407,0.052314316997004284,[-5.13  -2.26  0.6100000000000003  3.4800000000000004  6.3500000000000005  8]
111,0.14241366021547852,0.10543431620155444,0.246732651871016,[-7.81  -7.619999999999999  -7.429999999999999  -7.239999999999998  -7.049999999999998  -6.859999999999998  -6.669999999999997  -6.479999999999997]
112,2.0884970834409056,0.060252988837340996,0.1461336476872921,[-1.75  4.5  8]
113,0.09460854766384437,0.11535864306943334,0.261292740780127,[1.4900000000000002  8]
114,25.583521310651374,0.01559468438112736,0.05290223476172973,[-5.15  -2.3000000000000003  0.5499999999999998  3.4  6.25  6.27  6.289999999999999  6.309999999999999]
115,0.24153223431597026,0.11677441021791943,0.22188650266869536,[-7.95  -7.9  -7.8500000000000005  -7.800000000000001  -7.750000000000001  -7.700000000000001  -7.650000000000001  -7.600000000000001]
116,0.07005118232286138,0.09951731340007254,0.27777480973577207,[3.5299999999999994  8]
117,0.16124033601861046,0.07121515270346489,0.25011410527237765,[-7.17  -6.34  -5.51  -4.68  -3.8499999999999996  -3.0199999999999996  -2.1899999999999995  -1.3599999999999994]
118,57.80217307099229,0.00359597438911348,0.021940332012410635,[-6.34  -4.68  -3.0199999999999996  -1.3599999999999997  0.30000000000000027  1.9600000000000002  3.62  5.28]
119,0.07381052399472511,0.11009721527161287,0.2729517020977591,[2.1799999999999997  8]
120,45.336528970823174,0.006087157297210056,0.031438923150745035,[-5.98  -3.9600000000000004  -1.9400000000000004  0.07999999999999963  2.0999999999999996  4.119999999999999  5.969999999999999  6.529999999999999]
121,45.6534840303092,0.006277284409834489,0.031101106454652763,[-5.99  -3.9800000000000004  -1.9700000000000006  0.03999999999999915  2.049999999999999  4.059999999999999  8]
122,6.4606345833946675,0.04018880629794901,0.10409624177111551,[-3.8200000000000003  0.35999999999999943  3.8599999999999994  6.0  6.07  6.140000000000001  6.210000000000001  6.280000000000001]
