#{"t_start": 1689179343.2585473, "env_id": "None"}
r,l,t
-9.976212,3,3.306194
-9.997952,4,3.311088
-9.974797,3,3.314302
-9.996376,4,3.319184
-19.988534,7,3.327532
-9.995798,4,3.332533
-9.999081,5,3.339961
-14.993503,6,3.346733
-14.958953,5,3.352734
-9.975346,4,3.357396
-14.975222,7,3.365265
-9.978303,4,3.370264
-9.976192,4,3.374767
-9.978562,3,3.377301
-9.98462,3,3.381287
-9.97158,6,3.38849
-14.949847,6,3.393286
-9.974052,5,3.400221
-9.986354,7,3.408106
-9.984495,3,3.411005
-19.976226,6,3.419272
-9.974381,6,3.425263
-9.978987,3,3.429033
-9.951824,6,3.437986
-19.993586,6,3.442987
-14.995538,6,3.451058
-9.998527,3,3.454058
-9.996179,6,3.459947
-14.977981,3,3.46395
-9.97677,3,3.46795
-9.97996,4,3.47395
-14.993823,5,3.478949
-9.970737,4,3.482951
-9.978312,4,3.486969
-9.96737,5,3.490949
-9.99702,4,3.494947
-9.97752,4,3.499948
-9.997787,4,3.502949
-9.997262,3,3.506212
-9.973758,4,3.510951
-9.979028,6,3.517958
-9.982203,5,3.523958
-9.992963,4,3.527955
-19.924522,5,3.530958
-14.991445,4,3.535465
-9.996806,5,3.540472
-9.992629,3,3.542473
-14.973676,7,3.549261
-9.99796,4,3.554326
-14.99839,6,3.559259
-9.995195,5,3.563259
-14.97243,5,3.568945
-9.974553,5,3.57405
-14.99481,7,5.534211
-9.973552,4,5.54027
-9.978812,4,5.54527
-9.997987,3,5.550195
-9.995918,3,5.556226
-9.997444,3,5.560227
-14.959476,4,5.564944
-9.994553,3,5.569928
-14.996285,5,5.576257
-9.996741,5,5.579927
-14.985792,6,5.587971
-9.97514,5,5.593929
-9.978857,3,5.597931
-14.928679,6,5.603928
-9.997039,3,5.606982
-9.992942,4,5.609983
-9.993404,4,5.614984
-9.974094,4,5.620501
-19.975663,5,5.626266
-9.994242,3,5.630275
-9.977593,4,5.636216
-9.993313,4,5.641224
-9.986735,5,5.648245
-9.989367,6,5.653223
-14.997752,4,5.658225
-14.980267,4,5.664225
-14.9597,3,5.667224
-9.978295,4,5.671224
-14.971731,5,5.67631
-7.505568,8,5.81204
-14.976379,7,5.819183
-14.969824,4,5.822182
-14.970838,4,5.825183
-9.996859,5,5.828182
-9.97586,3,5.831184
-9.950208,5,5.836187
-9.97877,3,5.838188
-9.996686,4,5.841187
-14.981518,6,5.848186
-9.978999,3,5.850366
-9.978943,3,5.853184
-9.997427,4,5.857183
-14.98599,5,5.863183
-9.979054,2,5.866286
-9.995335,7,5.874184
-14.949682,5,5.88019
-9.982545,4,5.884183
-9.992378,3,5.886184
-9.996675,5,5.890184
-9.991905,4,5.894237
-14.991804,7,5.901924
-9.985629,4,5.904923
-9.978574,3,5.90754
-9.979054,2,5.909592
-14.991199,5,5.917212
-14.995286,5,5.920738
-14.972734,5,5.924817
-9.996834,4,5.929331
-14.971321,6,5.936358
-19.980864,7,5.944333
-9.994113,7,5.951292
-9.978371,4,5.954292
-9.953021,3,5.958266
-14.996924,5,5.962266
-14.988736,6,5.967365
-14.974812,6,5.973991
-9.979054,2,5.975391
-9.978913,4,5.980796
-9.978504,4,5.984379
-14.953839,8,5.991252
-9.974839,4,5.994251
-9.995332,4,5.997326
-9.983336,3,6.001251
-9.994129,4,6.005255
-9.988246,4,6.008253
-9.979054,2,6.010254
-9.997483,4,6.013254
-9.97587,3,6.017298
-9.975172,4,6.021298
-14.980355,4,6.024297
-9.97897,3,6.02683
-9.972414,5,6.031296
-9.982165,4,6.035295
-9.977661,5,6.039293
-9.977892,5,6.043296
-9.998073,3,6.045292
-9.978775,3,6.048417
-9.998528,3,6.052293
-9.978901,3,6.054293
-9.997385,3,6.056269
-14.92907,8,6.062274
-9.988633,4,6.067278
-9.989262,5,6.071277
-19.996979,7,6.076275
-14.9597,3,6.078275
-9.977587,7,6.085344
-9.998267,4,6.088906
-9.975965,5,6.092352
-9.996594,6,6.098311
-9.997189,3,6.102285
-9.978978,3,6.104285
-9.978422,3,6.10728
-9.951217,5,6.11028
-9.996382,5,6.117576
-9.976421,2,6.119583
-9.975231,4,6.122582
-14.980852,7,6.1273
-9.978856,3,6.130301
-19.981224,6,6.135431
-9.997196,3,6.138553
-9.969045,6,6.142437
-9.990326,4,6.147439
-19.978235,7,6.152436
-9.995205,5,6.156275
-9.999052,4,6.160284
-9.996395,6,6.166285
-9.997239,4,6.169285
-14.974267,5,6.173285
-9.99631,5,6.178955
-24.983976,7,6.183796
-9.974372,3,6.185796
-9.974545,5,6.190798
-9.994166,5,6.193795
-14.980344,4,6.197351
-9.998657,3,6.20031
-9.996746,5,6.20331
-14.980095,4,6.207389
-9.990534,4,6.210388
-9.978611,3,6.212388
-12.108616,8,6.321492
-9.996821,4,6.324495
-9.978845,3,6.327492
-9.995245,7,6.332494
-14.997563,5,6.336492
-9.979054,2,6.337491
-9.990361,3,6.339493
-9.983113,4,6.342493
-9.99232,5,6.348093
-14.998257,6,6.352091
-9.989915,3,6.354093
-14.950909,4,6.357093
-9.979674,5,6.362093
-9.988476,5,6.367076
-14.991656,6,6.373075
-9.997419,3,6.375078
-9.979054,2,6.379076
-9.978865,3,6.382077
-9.977755,4,6.385077
-19.993104,7,6.390077
-9.965006,5,6.395075
-9.984185,5,6.399073
-9.996275,4,6.402078
-9.996234,6,6.40634
-14.996366,5,6.410074
-9.98708,5,6.414074
-9.979054,2,6.416269
-9.991331,4,6.419128
-14.995567,7,6.425128
-9.995558,4,6.428128
-9.997734,4,6.432141
-14.955382,5,6.435128
-9.974402,4,6.440129
-19.992661,7,6.445127
-9.998703,3,6.448127
-9.996466,5,6.452127
-9.959139,6,6.45815
-9.998694,5,6.462129
-9.99287,5,6.466899
-9.955791,6,6.472701
-9.984321,3,6.47515
-14.99669,6,6.479163
-14.975483,8,6.486253
-9.979054,2,6.488255
-9.962087,3,6.491255
-14.979007,7,6.49629
-9.974855,3,6.499255
-9.998068,5,6.504252
-24.977638,7,6.511254
-9.949242,5,6.519227
-9.979054,2,6.521199
-9.99726,3,6.523201
-14.952801,5,6.528387
-9.978423,3,6.532387
-9.995351,5,6.537387
-9.996662,4,6.541387
-9.986036,4,6.544388
-9.945808,8,6.553313
-9.99091,4,6.55634
-9.997112,4,6.559299
-14.995808,7,6.5673
-9.996525,4,6.5703
-14.979901,5,6.574299
-9.971104,7,6.581299
-19.94083,6,6.585299
-14.998322,6,6.590286
-9.984746,5,6.593285
-9.996756,5,6.599251
-2.359487,8,6.715023
-9.996677,4,6.718023
-9.978892,3,6.720905
-14.972733,7,6.72629
