#{"t_start": 1689192164.2901304, "env_id": "None"}
r,l,t
-9.988432,4,5.949275
-9.997666,5,5.95414
-14.995736,7,5.959141
-9.988214,5,5.964141
-9.992295,4,5.967171
-9.999288,2,5.969257
-9.994338,4,5.971207
-9.990782,6,5.975205
-9.994152,3,5.978174
-9.996516,5,5.982173
-9.992862,6,5.986206
-9.999288,2,5.987173
-14.986819,8,5.993171
-9.994472,3,5.995207
-9.992018,5,6.000171
-9.991206,4,6.003171
-9.995627,5,6.006171
-9.999288,2,6.008171
-9.98853,5,6.013172
-9.994834,4,6.016205
-19.992588,8,6.021205
-14.993919,4,6.024209
-9.9975,4,6.028098
-9.993924,4,6.0321
-14.994781,7,6.0371
-9.991638,6,6.041101
-29.987626,8,6.048099
-9.994477,3,6.05125
-9.991987,6,6.055101
-9.998049,3,6.057295
-9.99616,4,6.062224
-9.993098,4,6.065133
-14.991724,5,6.068132
-14.990405,4,6.07113
-14.988669,6,6.076774
-9.9931,4,6.079774
-9.994697,4,6.082774
-19.98146,7,6.087774
-9.997434,3,6.089774
-9.996223,5,6.094777
-9.997562,4,6.097901
-14.997876,3,6.099901
-9.984816,5,6.103899
7.884806,8,6.206549
-19.988383,5,6.21055
-9.993802,4,6.213551
-9.994158,6,6.219158
-9.998312,3,6.221158
-9.993417,5,6.224158
-9.990794,4,6.228067
-14.987997,8,6.234071
-9.994377,3,6.237149
-14.992691,5,6.240071
-9.997105,3,6.24307
-9.994466,3,6.245102
-9.997874,3,6.248234
-9.997633,3,6.251179
-9.992064,4,6.254179
-9.9971,4,6.256179
-14.989016,6,6.261177
-14.996901,4,6.265211
-14.984857,7,6.270213
-14.988827,7,6.274211
-19.993762,5,6.280185
-14.99326,6,6.284091
-9.997229,4,6.287056
-9.994528,4,6.289058
-9.996629,4,6.293058
-14.997865,5,6.298156
-9.997472,4,6.300156
-9.987345,7,6.305156
-14.987844,8,6.312156
-9.990097,6,6.317157
-9.999201,3,6.319157
-9.992844,4,6.322156
-9.996463,5,6.328176
-14.996146,6,6.333156
-9.994762,4,6.336156
-9.988525,3,6.338157
-9.998301,4,6.342191
-14.991043,5,6.345156
-9.988012,6,6.35019
-9.990282,5,6.353191
-9.996565,4,6.357045
-14.982366,5,6.360794
-9.9943,3,6.362794
-9.997794,3,6.364794
-14.998911,5,6.367839
-9.993081,4,6.372798
-9.99778,6,6.377082
-9.994018,4,6.380046
-9.989995,5,6.383042
-9.994579,4,6.387146
-9.994807,3,6.389177
-9.992917,5,6.393186
-9.998702,4,6.396146
-14.985039,8,6.402249
-9.994838,4,6.405219
-9.997963,3,6.407219
-9.989227,6,6.41222
-14.994131,4,6.415219
-14.997659,6,6.420333
-9.997341,3,6.422331
-9.990631,4,6.424334
-9.987568,6,6.43014
-9.990526,4,6.433142
-9.991222,4,6.436078
-9.993747,6,6.440031
-14.988327,7,6.444997
-9.997687,4,6.449051
-9.99379,4,6.451998
-9.992848,5,6.454998
-9.992447,5,6.46
-9.993693,5,6.464031
-14.991495,7,6.46903
-14.989768,5,6.472031
-9.99468,4,6.475686
-9.995128,4,6.47991
-14.99591,7,6.48391
-9.977401,8,6.488911
-9.996274,5,6.491908
-9.988516,4,6.497467
-14.988166,5,6.500467
-14.992629,5,6.503467
-14.988294,4,6.506467
-14.996459,5,6.512467
-14.988039,4,6.515467
-9.997607,3,6.518086
-9.994878,3,6.520085
-9.996583,4,6.523085
-14.995839,4,6.528412
-9.994753,3,6.530261
-14.99537,4,6.533261
-14.994008,5,6.537329
-14.993916,6,6.543262
-14.992967,5,6.547913
-9.993729,4,6.55084
-14.996483,6,6.556841
-9.988419,5,6.560842
-9.997174,5,6.564841
-9.981778,6,6.570843
-14.988834,6,6.574871
-14.985994,5,6.579871
-9.994735,4,6.582874
-9.993367,5,6.58784
-9.987673,5,6.591838
-9.99429,4,6.59584
-9.996499,5,6.599839
-14.992329,5,6.604482
-9.994043,3,6.607482
-9.997825,3,6.609482
-9.989067,6,6.615482
-9.994981,5,6.620609
-9.993388,4,6.623609
-9.997484,3,6.625609
-9.98198,6,6.6306
-14.996113,7,6.636208
-14.99575,4,6.639172
-9.999288,2,6.641172
-9.993679,4,6.645173
-14.99772,4,6.649241
-9.995105,3,6.651239
-9.993732,4,6.65424
-9.993245,4,6.657239
-9.999122,3,6.660474
-9.988456,7,6.666751
-9.995631,6,6.670756
-9.992735,3,6.672757
-9.985005,6,6.676887
-9.996905,3,6.679904
-9.999288,2,6.681872
-14.995908,4,6.684872
-9.995231,6,6.688872
-14.991385,6,6.693841
-24.996766,8,6.701891
-14.997876,3,6.703839
-9.996258,5,6.708873
-9.990706,5,6.713841
-9.992821,4,6.717237
-14.994637,5,6.72125
-9.998944,4,6.723248
-9.993766,4,6.727269
-9.999288,2,6.729759
-9.994159,3,6.731707
-14.997846,4,6.734708
-9.992088,4,6.737708
-9.998651,3,6.739708
-24.994479,7,6.747169
